k,p,member,base,difference,additive,multiplicative,exponential_E1,exponential_E2,K_pure,K_royal_addition,K_royal_flat
1,11,11,,,(2*3) + 5,(3*2) + 5,(3*2) + 5,(3*2) + 5,,,
1,11,13,,,(2*5) + 3,(5*2) + 3,(2^3) + 5,(2^3) + 5,,,
1,11,17,,,7 + 5 + 3 + 2,(7*2) + 3,(7*2) + 3,(7*2) + 3,,,
1,11,19,,,(2*7) + 5,(7*2) + 5,(7*2) + 5,(7*2) + 5,,,
2,101,101,19,82,19 + 17 + 13 + 11 + (5*7) + (2*3),19 + (17*3) + (13*2) + 5,19 + (7^2) + (11*3),19 + (7^2) + (11*3),--,,4
2,101,103,101,2,101 + 2,,,,,,
2,101,107,101,6,101 + (2*3),,,,,,
2,101,109,107,2,107 + 2,,,,,,
3,191,191,109,82,109 + 19 + 17 + 13 + 11 + (3*5) + 7,109 + (19*3) + (7*2) + 11,109 + (7^2) + (11*3),109 + (7^2) + (11*3),--,,4
3,191,193,191,2,191 + 2,,,,,,
3,191,197,191,6,191 + (2*3),,,,,,
3,191,199,197,2,197 + 2,,,,,,
4,821,821,199,622,199 + 197 + 193 + 191 + (5*7) + (2*3),199 + (197*3) + (13*2) + 5,199 + (19^2) + (5^3) + 101 + 17 + 11 + 7,199 + (19^2) + (3^5) + 11 + 7,6,6,4
4,821,823,821,2,821 + 2,,,,,,
4,821,827,821,6,821 + (2*3),,,,,,
4,821,829,827,2,827 + 2,,,,,,
5,1481,1481,829,652,829 + 199 + 197 + 193 + 19 + 17 + 13 + 7 + 5 + 2,829 + (199*3) + (19*2) + 17,829 + (19^2) + (3^5) + 17 + 13 + 11 + 7,829 + (19^2) + (3^5) + 17 + 13 + 11 + 7,8,7,5
5,1481,1483,1481,2,1481 + 2,,,,,,
5,1481,1487,1481,6,1481 + (2*3),,,,,,
5,1481,1489,1487,2,1487 + 2,,,,,,
6,1871,1871,1489,382,1489 + 199 + 109 + 19 + 17 + (5*7) + 3,1489 + (191*2),1489 + (19^2) + (7*3),1489 + (19^2) + (7*3),--,7,5
6,1871,1873,1871,2,1871 + 2,,,,,,
6,1871,1877,1871,6,1871 + (2*3),,,,,,
6,1871,1879,1877,2,1877 + 2,,,,,,
7,2081,2081,1879,202,1879 + 199 + 3,1879 + (101*2),1879 + (13^2) + (11*3),1879 + (13^2) + (11*3),2,2,2
7,2081,2083,2081,2,2081 + 2,,,,,,
7,2081,2087,2081,6,2081 + (2*3),,,,,,
7,2081,2089,2087,2,2087 + 2,,,,,,
8,3251,3251,2089,1162,2089 + 829 + 199 + 109 + 19 + (2*3),2089 + (199*5) + (19*7) + (17*2),2089 + (19^2) + (7^3) + (13*11) + 197 + 101 + 17,2089 + (19^2) + (7^3) + (13*11) + 197 + 101 + 17,6,5,4
8,3251,3253,3251,2,3251 + 2,,,,,,
8,3251,3257,3251,6,3251 + (2*3),,,,,,
8,3251,3259,3257,2,3257 + 2,,,,,,
9,3461,3461,3259,202,3259 + 199 + 3,3259 + (101*2),3259 + (13^2) + (11*3),3259 + (13^2) + (11*3),2,2,2
9,3461,3463,3461,2,3461 + 2,,,,,,
9,3461,3467,3461,6,3461 + (2*3),,,,,,
9,3461,3469,3467,2,3467 + 2,,,,,,
10,5651,5651,3469,2182,3469 + 2087 + 19 + 17 + 13 + 11 + (5*7),3469 + (829*2) + (109*3) + (19*5) + (13*7) + 11,3469 + (19^2) + (11^3) + (17*7) + (13*5) + 199 + 107,3469 + (2^11) + (19*5) + (13*3),2,2,2
10,5651,5653,5651,2,5651 + 2,,,,,,
10,5651,5657,5651,6,5651 + (2*3),,,,,,
10,5651,5659,5657,2,5657 + 2,,,,,,
11,9431,9431,5659,3772,5659 + 3469 + 199 + 101 + 3,5659 + (1879*2) + 11 + 3,5659 + (19^2) + (13^3) + (199*5) + 191 + 17 + 11,5659 + (13^3) + (19^2) + (199*5) + 191 + 17 + 11,4,4,3
11,9431,9433,9431,2,9431 + 2,,,,,,
11,9431,9437,9431,6,9431 + (2*3),,,,,,
11,9431,9439,9437,2,9437 + 2,,,,,,
12,13001,13001,9439,3562,9439 + 3467 + 19 + 17 + 13 + 11 + (5*7),9439 + (1489*2) + (193*3) + 5,9439 + (19^2) + (13^3) + (109*7) + 107 + 101 + 17 + 11 + 5,9439 + (13^3) + (19^2) + (109*7) + 107 + 101 + 17 + 11 + 5,2,2,2
12,13001,13003,13001,2,13001 + 2,,,,,,
12,13001,13007,13001,6,13001 + (2*3),,,,,,
12,13001,13009,13007,2,13007 + 2,,,,,,
13,15641,15641,13009,2632,13009 + 2089 + 199 + 197 + 109 + (5*7) + 3,13009 + (829*3) + (19*5) + (13*2) + 17 + 7,13009 + (19^2) + (11^3) + (109*5) + (13*7) + 197 + 107,13009 + (13^3) + (17^2) + 109 + 19 + 11 + 7,6,5,5
13,15641,15643,15641,2,15641 + 2,,,,,,
13,15641,15647,15641,6,15641 + (2*3),,,,,,
13,15641,15649,15647,2,15647 + 2,,,,,,
14,15731,15731,15649,82,15649 + 19 + 17 + 13 + 11 + (3*5) + 7,15649 + (19*3) + (7*2) + 11,15649 + (7^2) + (11*3),15649 + (7^2) + (11*3),--,,4
14,15731,15733,15731,2,15731 + 2,,,,,,
14,15731,15737,15731,6,15731 + (2*3),,,,,,
14,15731,15739,15737,2,15737 + 2,,,,,,
15,16061,16061,15739,322,15739 + 199 + 109 + 7 + 5 + 2,15739 + (109*2) + (17*5) + 19,15739 + (17^2) + (11*3),15739 + (17^2) + (11*3),4,3,3
15,16061,16063,16061,2,16061 + 2,,,,,,
15,16061,16067,16061,6,16061 + (2*3),,,,,,
